,Title,Author,Series,Lang,Label
150,The Dark Room,R.K. Narayan,,English,Indian
151,The Degeneration of India,T.N. Seshan,,English,Indian
152,The Glass Palace,Amitav Ghosh,,English,Indian
153,The God of Small Things,Arundhati Roy,,English,Indian
154,The Golden Gate,Vikram Seth,,English,Indian
155,Vikram Seth,Kuldeep Nayar,,English,Indian
156,The Man who killed Gandhi,Manohar Malgonkar,,English,Indian
157,The Seven Spiritual Laws of Success,Deepak Chopra,,English,Indian
158,The Songs of India,Sarojini Naidu,,English,Indian
159,The Story of My Experiments with Truth,Mahatma Gandhi,,English,Indian
160,The Strange and Sublime Address,Amit Chaudhuri,,English,Indian
161,The Sword and the Sickle,Mulk Raj Anand,,English,Indian
162,The Vendor of Sweets,R.K. Narayan,,English,Indian
163,The Way of the Wizard,Deepak Chopra,,English,Indian
164,The Girmitiya Saga,Girraj Kishore,,English,Indian
165,Train to Pakistan,Khushwant Singh,,English,Indian
166,Two Leaves and a Bud,Mulk Raj Anand,,English,Indian
167,Victoria and Abdul,Shrabani Basu,,English,Indian
168,Waiting for the Mahatma,R.K. Narayan,,English,Indian
169,Wake Up India,Annie Besant,,English,Indian
170,"We, Indians",Khushwant Singh,,English,Indian
171,Yama,Mahadevi Verma,,English,Indian
172,Yashodhara,Maithili Sharan Gupt,,English,Indian
173,Years of Pilgrimage,Dr. Raja Ramanna,,English,Indian
174,The Congress and The Making of Indian Nation,Pranab Mukherjee,,English,Indian
175,The Dramatic Decade The Indira Gandhi Year’s,Pranab Mukherjee,,English,Indian
176,Glimpses of World History,Jawaharlal Nehru,,English,Indian
177,Letters from a Father to her Daughter,Jawaharlal Nehru,,English,Indian
178,R. D. Burman: The Man The Music,Anirudh Bhattachaarjee,,English,Indian
179,R.N. Kao: Gentleman Spymaster,Nitin A Gokhale,,English,Indian
180,Rabindra Chitravali,R Siva Kumar,,English,Indian
181,The Race of My Life,Milkha Singh,,English,Indian
182,Rajinikanth: The Definitive Biography,Naman Ramachandran,,English,Indian
183,The Red Sari,Javier Moro,,English,Indian
184,Redrawing India: The Teach For India Story,Kovid Gupta,,English,Indian
185,Rendezvous with God,Shreeja Jhawar,,English,Indian
186,The Revised Standard Reference Guide to Indian Paper Money,Rezwan Razack,,English,Indian
187,Malevolent Republic,KS Komireddy,,English,Indian
188,Marathi Vishwakosh,,,English,Indian
189,Mathrubhumi Yearbook,,,English,Indian
190,Matters of Discretion,Inder Kumar Gujral,,English,Indian
191,Maximum City,Suketu Mehta,,English,Indian
192,May I Hebb Your Attention Pliss,,,English,Indian
193,Mithun Chakraborty: The Dada of Bollywood,Ram Kamal Mukherjee,,English,Indian
194,The Monk as Man,Shankar,,English,Indian
195,The Monk Who Transformed Uttar Pradesh,Shantanu Gupta,,English,Indian
196,Mrs Funnybones,Twinkle Khanna,,English,Indian
197,Mumbai Fables,Gyan Prakash,,English,Indian
198,My Country My Life,LK Advani,,English,Indian
199,My Days in the Underworld: Rise of the Bangalore Mafia,Agni Sreedhar,,English,Indian
200,My Seditious Heart,Arundhati Roy,,English,Indian
201,Dalkhi Thi Saav Chhutan,Ashok Chavda Bedil,,English,Indian
202,Dating The Era of Lord Ram,Pushkar Bhatnagar,,English,Indian
203,The Deadly Dozen: India's Most Notorious Serial Killers,Anirban Bhattacharya,,English,Indian
204,Delhi Riots 2020: The Untold Story,,,English,Indian
205,Democracy on the Road,Ruchir Sharma,,English,Indian
206,Dhammapada (Easwaran translation),,,English,Indian
207,The Dialogue of Pyaasa,,,English,Indian
208,"Diamonds Are Forever, So Are Morals",Arun Tiwari,,English,Indian
209,A Dominant Character,Samanth Subramaniam,,English,Indian
210,A Bank for the Buck,Tamal Bandyopadhyay,,English,Indian
211,Barda Na Dungar,Pravin Pandya,,English,Indian
212,The Battle for Sanskrit,Rajiv Malhotra,,English,Indian
213,Battleground Telangana,Kingshuk Nag,,English,Indian
214,Being Different,Rajiv Malhotra,,English,Indian
215,The Bera Bond,Sundeep Bhatoria,,English,Indian
216,"Bharatiya Janata Party: Past, Present and Future",,,English,Indian
217,Bhavishya Malika Puran,Shri Kashinath Mishra,,English,Indian
218,Bhavsagar Granth,,,English,Indian
219,Bhitarno Shankhanaad,Bhavesh Bhatt,,English,Indian
220,Bhitti,SL Bhyrappa,,English,Indian
221,Black Warrant (book),Sunetra Choudhury,,English,Indian
222,Breaking India,Rajiv Malhotra,,English,Indian
223,Byculla to Bangkok,S Hussain Zaidi,,English,Indian
224,Heavy Metal: How a Global Corporation Poisoned Kodaikanal,Ameer Shahul,,English,Indian
225,Helen: The Life and Times of an H-Bomb,Jerry Pinto,,English,Indian
226,Hema Malini: Diva Unveiled,Ram Kamal Mukherjee,,English,Indian
227,Hidayatul Quran,Muhammed Usman Kashif Hasmi,,English,Indian
228,The Hindus: An Alternative History,Wendy Doniger,,English,Indian
229,The Accidental Prime Minister,Sanjaya Baru,,English,Indian
230,Agropedia,,,English,Indian
231,The Algebra of Infinite Justice,Arundhati Roy,,English,Indian
232,The Artist of Disappearance,Anita Desai,,English,Indian
233,As I See It,LK Advani,,English,Indian
234,Attupokatha Ormakal,TJ Joseph,,English,Indian
235,Sahib Bibi Aur Ghulam: The Original Screenplay,Dinesh Raheja,,English,Indian
236,Sangeetpedia,Enayet Hossain,,English,Indian
237,Scarred: Experiments with Violence in Gujarat,Dionne Bunsha,,English,Indian
238,The Seven Sisters of India (book),Aglaja Stirn,,English,Indian
239,The Shape of the Beast,Arundhati Roy,,English,Indian
240,Sholay: The Making of a Classic,Anupam Chopra,,English,Indian
241,A Shot at History,Abhinav Bindra,,English,Indian
242,Shuttler's Flick,Pullela Gopichand,,English,Indian
243,Silent Cinema in India,BD Garga,,English,Indian
244,Stardust: Vignettes from the Fringes of Film Industry,Roopa Swaminathan,,English,Indian
245,Sue the Messenger,Subir Ghosh,,English,Indian
246,Swami Vivekananda: Messiah of Resurgent India,Pranab Ranjan Bhuvan,,English,Indian
247,Swaraj (book),Arvind Kejriwal,,English,Indian
248,What Young India Wants,Chetan Bhagat,,English,Indian
249,Who Owns That Song,R Venkatachalapathy,,English,Indian
250,Why There Are No Noyontara Flowers In Agargaon Colony: Stories,Shahidul Zahir,,English,Indian
251,Widows of Vidarbha,Kota Neelima,,English,Indian
252,The Winning Way,Harsha Bhogle,,English,Indian
253,Nehru: The Invention of India,Shashi Tharoor,,English,Indian
