,Title,Author,Series,Lang,Label
149,The Cat and Shakespeare,Raja Rao,NA,English,Indian
150,The Dark Room,R.K. Narayan,NA,English,Indian
151,The Degeneration of India,T.N. Seshan,NA,English,Indian
152,The Glass Palace,Amitav Ghosh,NA,English,Indian
153,The God of Small Things,Arundhati Roy,NA,English,Indian
154,The Golden Gate,Vikram Seth,NA,English,Indian
155,Vikram Seth,Kuldeep Nayar,NA,English,Indian
156,The Man who killed Gandhi,Manohar Malgonkar,NA,English,Indian
157,The Seven Spiritual Laws of Success,Deepak Chopra,NA,English,Indian
158,The Songs of India,Sarojini Naidu,NA,English,Indian
159,The Story of My Experiments with Truth,Mahatma Gandhi,NA,English,Indian
160,The Strange and Sublime Address,Amit Chaudhuri,NA,English,Indian
161,The Sword and the Sickle,Mulk Raj Anand,NA,English,Indian
162,The Vendor of Sweets,R.K. Narayan,NA,English,Indian
163,The Way of the Wizard,Deepak Chopra,NA,English,Indian
164,The Girmitiya Saga,Girraj Kishore,NA,English,Indian
165,Train to Pakistan,Khushwant Singh,NA,English,Indian
166,Two Leaves and a Bud,Mulk Raj Anand,NA,English,Indian
167,Victoria and Abdul,Shrabani Basu,NA,English,Indian
168,Waiting for the Mahatma,R.K. Narayan,NA,English,Indian
169,Wake Up India,Annie Besant,NA,English,Indian
170,"We, Indians",Khushwant Singh,NA,English,Indian
171,Yama,Mahadevi Verma,NA,English,Indian
172,Yashodhara,Maithili Sharan Gupt,NA,English,Indian
173,Years of Pilgrimage,Dr. Raja Ramanna,NA,English,Indian
174,The Congress and The Making of Indian Nation,Pranab Mukherjee,NA,English,Indian
175,The Dramatic Decade The Indira Gandhi Year’s,Pranab Mukherjee,NA,English,Indian
176,Glimpses of World History,Jawaharlal Nehru,NA,English,Indian
177,Letters from a Father to her Daughter,Jawaharlal Nehru,NA,English,Indian
178,R. D. Burman: The Man The Music,Anirudh Bhattachaarjee,NA,English,Indian
179,R.N. Kao: Gentleman Spymaster,Nitin A Gokhale,NA,English,Indian
180,Rabindra Chitravali,R Siva Kumar,NA,English,Indian
181,The Race of My Life,Milkha Singh,NA,English,Indian
182,Rajinikanth: The Definitive Biography,Naman Ramachandran,NA,English,Indian
183,The Red Sari,Javier Moro,NA,English,Indian
184,Redrawing India: The Teach For India Story,Kovid Gupta,NA,English,Indian
185,Rendezvous with God,Shreeja Jhawar,NA,English,Indian
186,The Revised Standard Reference Guide to Indian Paper Money,Rezwan Razack,NA,English,Indian
187,Malevolent Republic,KS Komireddy,NA,English,Indian
188,Marathi Vishwakosh,,NA,English,Indian
189,Mathrubhumi Yearbook,,NA,English,Indian
190,Matters of Discretion,Inder Kumar Gujral,NA,English,Indian
191,Maximum City,Suketu Mehta,NA,English,Indian
192,May I Hebb Your Attention Pliss,NA,NA,English,Indian
193,Mithun Chakraborty: The Dada of Bollywood,Ram Kamal Mukherjee,NA,English,Indian
194,The Monk as Man,Shankar,NA,English,Indian
195,The Monk Who Transformed Uttar Pradesh,Shantanu Gupta,NA,English,Indian
196,Mrs Funnybones,Twinkle Khanna,NA,English,Indian
197,Mumbai Fables,Gyan Prakash,NA,English,Indian
198,My Country My Life,LK Advani,NA,English,Indian
199,My Days in the Underworld: Rise of the Bangalore Mafia,Agni Sreedhar,NA,English,Indian
200,My Seditious Heart,Arundhati Roy,NA,English,Indian
201,Dalkhi Thi Saav Chhutan,Ashok Chavda Bedil,NA,English,Indian
202,Dating The Era of Lord Ram,Pushkar Bhatnagar,NA,English,Indian
203,The Deadly Dozen: India's Most Notorious Serial Killers,Anirban Bhattacharya,NA,English,Indian
204,Delhi Riots 2020: The Untold Story,,NA,English,Indian
205,Democracy on the Road,Ruchir Sharma,NA,English,Indian
206,Dhammapada (Easwaran translation),,NA,English,Indian
207,The Dialogue of Pyaasa,NA,NA,English,Indian
208,"Diamonds Are Forever, So Are Morals",Arun Tiwari,NA,English,Indian
209,A Dominant Character,Samanth Subramaniam,NA,English,Indian
210,A Bank for the Buck,Tamal Bandyopadhyay,NA,English,Indian
211,Barda Na Dungar,Pravin Pandya,NA,English,Indian
212,The Battle for Sanskrit,Rajiv Malhotra,NA,English,Indian
213,Battleground Telangana,Kingshuk Nag,NA,English,Indian
214,Being Different,Rajiv Malhotra,NA,English,Indian
215,The Bera Bond,Sundeep Bhatoria,NA,English,Indian
216,"Bharatiya Janata Party: Past, Present and Future",NA,NA,English,Indian
217,Bhavishya Malika Puran,Shri Kashinath Mishra,NA,English,Indian
218,Bhavsagar Granth,,NA,English,Indian
219,Bhitarno Shankhanaad,Bhavesh Bhatt,NA,English,Indian
220,Bhitti,SL Bhyrappa,NA,English,Indian
221,Black Warrant (book),Sunetra Choudhury,NA,English,Indian
222,Breaking India,Rajiv Malhotra,NA,English,Indian
223,Byculla to Bangkok,S Hussain Zaidi,NA,English,Indian
224,Heavy Metal: How a Global Corporation Poisoned Kodaikanal,Ameer Shahul,NA,English,Indian
225,Helen: The Life and Times of an H-Bomb,Jerry Pinto,NA,English,Indian
226,Hema Malini: Diva Unveiled,Ram Kamal Mukherjee,NA,English,Indian
227,Hidayatul Quran,Muhammed Usman Kashif Hasmi,NA,English,Indian
228,The Hindus: An Alternative History,Wendy Doniger,NA,English,Indian
229,The Accidental Prime Minister,Sanjaya Baru,NA,English,Indian
230,Agropedia,,NA,English,Indian
231,The Algebra of Infinite Justice,Arundhati Roy,NA,English,Indian
232,The Artist of Disappearance,Anita Desai,NA,English,Indian
233,As I See It,LK Advani,NA,English,Indian
234,Attupokatha Ormakal,TJ Joseph,NA,English,Indian
235,Sahib Bibi Aur Ghulam: The Original Screenplay,Dinesh Raheja,NA,English,Indian
236,Sangeetpedia,Enayet Hossain,NA,English,Indian
237,Scarred: Experiments with Violence in Gujarat,Dionne Bunsha,NA,English,Indian
238,The Seven Sisters of India (book),Aglaja Stirn,NA,English,Indian
239,The Shape of the Beast,Arundhati Roy,NA,English,Indian
240,Sholay: The Making of a Classic,Anupam Chopra,NA,English,Indian
241,A Shot at History,Abhinav Bindra,NA,English,Indian
242,Shuttler's Flick,Pullela Gopichand,NA,English,Indian
243,Silent Cinema in India,BD Garga,NA,English,Indian
244,Stardust: Vignettes from the Fringes of Film Industry,Roopa Swaminathan,NA,English,Indian
245,Sue the Messenger,Subir Ghosh,NA,English,Indian
246,Swami Vivekananda: Messiah of Resurgent India,Pranab Ranjan Bhuvan,NA,English,Indian
247,Swaraj (book),Arvind Kejriwal,NA,English,Indian
248,What Young India Wants,Chetan Bhagat,NA,English,Indian
249,Who Owns That Song,R Venkatachalapathy,NA,English,Indian
250,Why There Are No Noyontara Flowers In Agargaon Colony: Stories,Shahidul Zahir,NA,English,Indian
251,Widows of Vidarbha,Kota Neelima,NA,English,Indian
252,The Winning Way,Harsha Bhogle,NA,English,Indian
253,Nehru: The Invention of India,Shashi Tharoor,NA,English,Indian
254,"Nellie, 1983",Diganta Sharma,NA,English,Indian
255,A New Idea of India,Harsh Madhusudhan,NA,English,Indian
256,Nine Lives: In Search of the Sacred in Modern India,William Dalrymple,NA,English,Indian
